AccountID,ResourceID,Service,Region,Department,Project,Environment,Owner,CostCenter,CreatedBy,MonthlyCostUSD,Tagged,TagCompletenessScore
1001,i-002,EC2,us-east-1,Marketing,CampaignApp,Dev,,CC101,Terraform,80.0,No,4
1001,s3-002,S3,us-east-1,Marketing,AdsAPI,Dev,,CC101,Manual,25.0,No,4
1001,api-002,APIGateway,us-east-2,Marketing,AdsAPI,Dev,,CC101,Manual,35.0,No,4
1002,rds-002,RDS,us-west-2,Sales,CRMTool,Dev,,CC102,Manual,150.0,No,4
1002,cf-002,CloudFront,us-east-1,Sales,CRMTool,Dev,,CC102,Manual,90.0,No,4
1003,lambda-002,Lambda,us-east-1,Analytics,Insights,Dev,,CC103,Manual,40.0,No,4
1003,s3-004,S3,us-east-1,Analytics,DataLake,Dev,,CC103,Manual,90.0,No,4
1003,ddb-002,DynamoDB,us-west-2,Analytics,DataWarehouse,Dev,,CC103,Manual,80.0,No,4
1004,ecs-002,ECS,us-west-1,DevOps,CI-CD,Dev,,CC104,Manual,90.0,No,4
1004,lambda-004,Lambda,us-east-1,DevOps,InfraMonitor,Dev,,CC104,Manual,45.0,No,4
1004,ec2-007,EC2,us-east-2,DevOps,InfraMonitor,Test,,CC104,Manual,30.0,No,4
1005,cw-002,CloudWatch,us-east-1,Finance,BudgetTracker,Dev,,CC105,Manual,55.0,No,4
1005,rds-004,RDS,us-west-1,Finance,LedgerDB,Dev,,CC105,Manual,110.0,No,4
1005,ec2-008,EC2,us-west-1,Finance,LedgerDB,Test,,CC105,Manual,35.0,No,4
1006,ec2-006,EC2,us-east-1,HR,PayrollApp,Dev,,CC106,Manual,85.0,No,4
1006,s3-006,S3,us-east-1,HR,EmployeeDocs,Dev,,CC106,Manual,25.0,No,4
1006,ec2-010,EC2,us-east-2,HR,RecruitPortal,Test,,CC106,Manual,60.0,No,4
1001,i-002,EC2,us-east-1,Marketing,CampaignApp,Dev,,CC101,Terraform,80.0,No,4
1001,s3-002,S3,us-east-1,Marketing,AdsAPI,Dev,,CC101,Manual,25.0,No,4
1001,api-002,APIGateway,us-east-2,Marketing,AdsAPI,Dev,,CC101,Manual,35.0,No,4
1002,rds-002,RDS,us-west-2,Sales,CRMTool,Dev,,CC102,Manual,150.0,No,4
1002,cf-002,CloudFront,us-east-1,Sales,CRMTool,Dev,,CC102,Manual,90.0,No,4
1003,lambda-002,Lambda,us-east-1,Analytics,Insights,Dev,,CC103,Manual,40.0,No,4
1003,s3-004,S3,us-east-1,Analytics,DataLake,Dev,,CC103,Manual,90.0,No,4
1003,ddb-002,DynamoDB,us-west-2,Analytics,DataWarehouse,Dev,,CC103,Manual,80.0,No,4
1004,ecs-002,ECS,us-west-1,DevOps,CI-CD,Dev,,CC104,Manual,90.0,No,4
1004,lambda-004,Lambda,us-east-1,DevOps,InfraMonitor,Dev,,CC104,Manual,45.0,No,4
1004,ec2-007,EC2,us-east-2,DevOps,InfraMonitor,Test,,CC104,Manual,30.0,No,4
1005,cw-002,CloudWatch,us-east-1,Finance,BudgetTracker,Dev,,CC105,Manual,55.0,No,4
1005,rds-004,RDS,us-west-1,Finance,LedgerDB,Dev,,CC105,Manual,110.0,No,4
1005,ec2-008,EC2,us-west-1,Finance,LedgerDB,Test,,CC105,Manual,35.0,No,4
1006,ec2-006,EC2,us-east-1,HR,PayrollApp,Dev,,CC106,Manual,85.0,No,4
1006,s3-006,S3,us-east-1,HR,EmployeeDocs,Dev,,CC106,Manual,25.0,No,4
1006,ec2-010,EC2,us-east-2,HR,RecruitPortal,Test,,CC106,Manual,60.0,No,4
